Check-in,Check-out,Reservado em,Estado,Quartos,Pessoas,Adultos,Crianças,Idade da(s) criança(s),Preço,Comissão (%),Valor da comissão,Estado do pagamento,Método de pagamento (provedor de pagamento),Grupo de quem reservou,Booker country,Motivo da viagem,Dispositivo,Tipo de unidade,Duração (noites),Data de cancelamento,booking_id_hash,booker_id_hash
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,fbd04e1aae9ce0b11a8946e2c9ac2619f7428a64d32d01eff61d809dcb70ee8e
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,fbd04e1aae9ce0b11a8946e2c9ac2619f7428a64d32d01eff61d809dcb70ee8e
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,fbd04e1aae9ce0b11a8946e2c9ac2619f7428a64d32d01eff61d809dcb70ee8e
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,a416ea84421fa7e1351582da48235bac88380a337ec5cb5a9239dc7d57908b4b
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,d84bdb34d4eeef4034d77e5403f850e35bc4a51b1143e3a83510e1aaad839748
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,fbd04e1aae9ce0b11a8946e2c9ac2619f7428a64d32d01eff61d809dcb70ee8e
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,fbd04e1aae9ce0b11a8946e2c9ac2619f7428a64d32d01eff61d809dcb70ee8e
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,d84bdb34d4eeef4034d77e5403f850e35bc4a51b1143e3a83510e1aaad839748
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,a416ea84421fa7e1351582da48235bac88380a337ec5cb5a9239dc7d57908b4b
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,d84bdb34d4eeef4034d77e5403f850e35bc4a51b1143e3a83510e1aaad839748
,,,,,,,,,,,,,,,,,,,,,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,fbd04e1aae9ce0b11a8946e2c9ac2619f7428a64d32d01eff61d809dcb70ee8e
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,56824d16dcb61c982fc31a731cf6f20594c0a3f1da2aff349ee804bf1c4544d1
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,a416ea84421fa7e1351582da48235bac88380a337ec5cb5a9239dc7d57908b4b
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,a416ea84421fa7e1351582da48235bac88380a337ec5cb5a9239dc7d57908b4b
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,d0ff5974b6aa52cf562bea5921840c032a860a91a3512f7fe8f768f6bbe005f6
,,,,,,,,,,,,,,,,,,,,,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,fbd04e1aae9ce0b11a8946e2c9ac2619f7428a64d32d01eff61d809dcb70ee8e
,,,,,,,,,,,,,,,,,,,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,fbd04e1aae9ce0b11a8946e2c9ac2619f7428a64d32d01eff61d809dcb70ee8e
